MeshID	DrugBankIDs
MESH:C032613	DB01909
MESH:C000588741	DB13115
MESH:C007852	DB00326
MESH:C057081	DB05779
MESH:C029620	DB09561
MESH:C080570	DB07895
MESH:C005087	DB04553
MESH:C013082	DB03229
MESH:C001505	DB04074
MESH:D017962	DB00132
MESH:C031638	DB01557
MESH:D019805	DB00765
MESH:C000602148	DB12795
MESH:C005451	DB15573
MESH:D000522	DB13160
MESH:C000621989	DB05531
MESH:D024502	DB14001|DB14003|DB14476
MESH:C006477	DB11371
MESH:D000525	DB00404
MESH:D000526	DB00866
MESH:D000527	DB00770
MESH:C016212	DB02020
MESH:C120793	DB04014
MESH:C572627	DB15386
MESH:C023445	DB11372
MESH:D006585	DB00488
MESH:D000535	DB01370
MESH:C013396	DB14518
MESH:D000077410	DB11081
MESH:D000536	DB06723
MESH:C033065	DB11230|DB13595
MESH:D000537	DB11342
MESH:C534453	DB11108
MESH:C041524	DB09087|DB11239
MESH:C010846	DB01616
MESH:C419502	DB06274
MESH:C077990	DB03496
MESH:D000547	DB00915
MESH:D018647	DB14326
MESH:C467894	DB06403
MESH:D000551	DB06742
MESH:C006485	DB13812
MESH:C012716	DB00288
MESH:D000560	DB01163
MESH:D000561	DB01605
MESH:C098393	DB06619
MESH:C473928	DB06679
MESH:C424425	DB06248
MESH:C076252	DB05395
MESH:D000077770	DB11640
MESH:D004999	DB01143
MESH:D000583	DB00479
MESH:D000584	DB00594
MESH:D000585	DB11561
MESH:C016217	DB13039
MESH:C011597	DB04836
MESH:D000596	DB09393
MESH:C476911	DB05128
MESH:D015119	DB00513
MESH:C546031	DB13585
MESH:D000616	DB00357
MESH:D000622	DB00855
MESH:C019249	DB02289
MESH:D000625	DB02079
MESH:C012725	DB15597
MESH:D000628	DB01223
MESH:D000630	DB08878
MESH:D000632	DB01424
MESH:C010850	DB04452
MESH:D000635	DB01490
MESH:D010131	DB00233
MESH:D000638	DB01118
MESH:C049860	DB13668
MESH:D000077582	DB06288|DB13273
MESH:C014983	DB11373
MESH:D000639	DB00321
MESH:C006566	DB13114
MESH:C045742	DB01025
MESH:D017311	DB00381
MESH:C110525	DB04874
MESH:D000641	DB11118
MESH:D000643	DB06767
MESH:C022175	DB11128
MESH:D000654	DB01351
MESH:D000655	DB00613
MESH:C037020	DB05022
MESH:C038974	DB09056
MESH:D000657	DB00543
MESH:D000658	DB01060
MESH:C049058	DB08927
MESH:D000661	DB00182
MESH:D000666	DB00681
MESH:D000667	DB00415
MESH:C095108	DB00701
MESH:D000676	DB01427
MESH:C055866	DB06263
MESH:D000677	DB00276
MESH:C542912	DB13908
MESH:D000680	DB01612
MESH:C015677	DB09088
MESH:D000687	DB14927
MESH:D000688	DB15216
MESH:C530884	DB06630
MESH:C583175	DB12417
MESH:C021139	DB00261
MESH:C000593861	DB06645
MESH:D000077384	DB01217
MESH:C105861	DB09103
MESH:D000721	DB05099
MESH:C030419	DB05767
MESH:D015113	DB01530
MESH:C006576	DB01561
MESH:D015114	DB01524
MESH:D000735	DB01536
MESH:C108424	DB12081
MESH:C418047	DB05288
MESH:D000781	DB13853
MESH:C000595240	DB14809
MESH:D000802	DB13517
MESH:C118790	DB11720
MESH:D000804	DB11842
MESH:D000077612	DB00362
MESH:C100232	DB00913
MESH:C023650	DB06728
MESH:C036466	DB04599
MESH:C010679	DB01125
MESH:C003922	DB11785
MESH:D000841	DB07374
MESH:C000625192	DB11885
MESH:C080315	DB06420
MESH:C084350	DB05624
MESH:D000865	DB08799
MESH:D000875	DB11157
MESH:C031385	DB04166
MESH:C010680	DB04263
MESH:C065655	DB13151
MESH:D000965	DB13110
MESH:C060390	DB13473
MESH:D000966	DB15587
MESH:D000967	DB05630
MESH:C052091	DB11702
MESH:D000976	DB15251
MESH:D000983	DB01435
MESH:D000990	DB11598
